case_id,order_id,customer_id,customer_unique_id,order_purchase_timestamp,payment_type,payment_value,payment_installments,previous_order_count,previous_payment_count,previous_success_count,previous_cancelled_count,historical_payment_success_rate,historical_average_payment,customer_tenure_before_payment,order_frequency_before_payment,failure_category,failure_reason,hours_since_failure,recovery_attempt_number,valid_actions_count,valid_actions,split,simulation_seed,provenance_version,action,recovered
2e7a8482f6fb09756ca50c10d7bfc047_1,2e7a8482f6fb09756ca50c10d7bfc047,08c5351a6aca1c1589a38f244edeee9d,b7d76e111c89f7ebf14761390f0f7d17,2016-09-04 21:15:19,credit_card,136.23,1,0,0,0,0,0.0,0.0,0,0.0,CUSTOMER_ACTION_REQUIRED,expired_card,25.0,1,2,NUDGE|ESCALATE,train,42,v1.0-ml-training-exploration,NUDGE,1
63638a6806d67773f3adba8534553fff_5,63638a6806d67773f3adba8534553fff,16e14c1e6e050fe6730c961ff638ca23,df2988ba3ed226b10521a0e4da849b61,2016-10-04 13:22:56,voucher,34.19,1,0,0,0,0,0.0,0.0,0,0.0,GENERIC_DECLINE,payment_failed,4.4,1,2,NUDGE|ESCALATE,train,42,v1.0-ml-training-exploration,ESCALATE,0
35d3a51724a47ef1d0b89911e39cc4ff_1,35d3a51724a47ef1d0b89911e39cc4ff,27ab53f26192510ff85872aeb3759dcc,f922896769e9517ea3c630f3c8de86d0,2016-10-04 14:23:50,boleto,62.33,1,0,0,0,0,0.0,0.0,0,0.0,GENERIC_DECLINE,payment_failed,69.7,1,2,NUDGE|ESCALATE,train,42,v1.0-ml-training-exploration,NUDGE,1
5cb8558cbb7c0c2f00f43468579d3e3c_1,5cb8558cbb7c0c2f00f43468579d3e3c,2ff5a6455514da421bd25d6e4ceb1d12,2e629c69eaa172cb271dcf7f890f921a,2016-10-04 15:02:37,boleto,40.15,1,0,0,0,0,0.0,0.0,0,0.0,CUSTOMER_ACTION_REQUIRED,payment_timed_out,60.8,1,2,NUDGE|ESCALATE,train,42,v1.0-ml-training-exploration,ESCALATE,0
51725d3e4bdfc97e28b40543310da8a3_1,51725d3e4bdfc97e28b40543310da8a3,a0f95ab56c6d3a5ba0036b7fdfeda07f,a9530b74fe56ca4be9e5f2c7e7c4175a,2016-10-04 15:02:53,credit_card,149.54,7,0,0,0,0,0.0,0.0,0,0.0,FUNDS_ISSUE,insufficient_funds,22.2,1,3,RETRY|NUDGE|ESCALATE,train,42,v1.0-ml-training-exploration,ESCALATE,0
cb29497c3782a76b57327c055d58b0e0_1,cb29497c3782a76b57327c055d58b0e0,663c23427108785957931a3ac88f6085,2e15add79c76241beffe812a24ad3a31,2016-10-04 16:41:59,credit_card,163.2,5,0,0,0,0,0.0,0.0,0,0.0,GENERIC_DECLINE,do_not_honor,9.8,1,3,RETRY|NUDGE|ESCALATE,train,42,v1.0-ml-training-exploration,ESCALATE,1
b0cfee6ce5503781be6004e0e31e4309_1,b0cfee6ce5503781be6004e0e31e4309,9e18a290b9d17b14fe33b68a0ea2bfeb,3c752a5f42170574e38358384ece8819,2016-10-04 18:07:24,credit_card,116.17,1,0,0,0,0,0.0,0.0,0,0.0,FUNDS_ISSUE,insufficient_funds,53.1,1,3,RETRY|NUDGE|ESCALATE,train,42,v1.0-ml-training-exploration,ESCALATE,0
90aea7c4e52538a18cb9bbfd16f09185_1,90aea7c4e52538a18cb9bbfd16f09185,85f0e92957e9fb9c5f72ba5378f492a0,cfbb7c1c3d613d974eef515b180e2c9b,2016-10-04 19:25:29,credit_card,979.91,10,0,0,0,0,0.0,0.0,0,0.0,SOFT_DECLINE,network_error,16.3,1,3,RETRY|NUDGE|ESCALATE,train,42,v1.0-ml-training-exploration,NUDGE,0
bcbc0973414b1dd97555e6f8e9713cfa_1,bcbc0973414b1dd97555e6f8e9713cfa,3f6f000d5b0a959f38481fad4ab7cac2,221234182f828fb9f2a4ba9c89874ede,2016-10-04 23:59:01,credit_card,383.24,3,0,0,0,0,0.0,0.0,0,0.0,SOFT_DECLINE,gateway_error,43.8,1,3,RETRY|NUDGE|ESCALATE,train,42,v1.0-ml-training-exploration,ESCALATE,0
34c718970b33419ed6d537a90366231b_1,34c718970b33419ed6d537a90366231b,ac68706c6f747bf0f7e7986a7ba40155,e8798977c2a62ecf8f2b17fba406097f,2016-10-05 08:41:18,credit_card,134.8,6,0,0,0,0,0.0,0.0,0,0.0,CUSTOMER_ACTION_REQUIRED,authentication_failed,56.2,1,2,NUDGE|ESCALATE,train,42,v1.0-ml-training-exploration,ESCALATE,0
