case_id,order_id,customer_id,customer_unique_id,payment_type,payment_value,payment_installments,payment_sequential,order_purchase_timestamp,failure_timestamp,hours_since_failure,previous_order_count,previous_payment_count,previous_success_count,previous_cancelled_count,historical_payment_success_rate,historical_average_payment,customer_tenure_before_payment,order_frequency_before_payment,failure_category,failure_reason,recovery_attempt_number,model_probability_RETRY,model_probability_NUDGE,model_probability_ESCALATE,model_probability_STOP,effective_probability_RETRY,effective_probability_NUDGE,effective_probability_ESCALATE,effective_probability_STOP,utility_RETRY,utility_NUDGE,utility_ESCALATE,utility_STOP,guardrail_RETRY,guardrail_NUDGE,guardrail_ESCALATE,guardrail_STOP,guardrail_rules_RETRY,guardrail_rules_NUDGE,guardrail_rules_ESCALATE,guardrail_rules_STOP,selected_action,recovery_probability,revenue_at_risk,expected_recovered_amount,execution_status,recovered,recovered_amount,simulation_seed,provenance_version
2e7a8482f6fb09756ca50c10d7bfc047_1,2e7a8482f6fb09756ca50c10d7bfc047,08c5351a6aca1c1589a38f244edeee9d,b7d76e111c89f7ebf14761390f0f7d17,credit_card,136.23,1,1,2016-09-04 21:15:19,2016-09-04 21:20:19,25.0,0,0,0,0,0.0,0.0,0,0.0,CUSTOMER_ACTION_REQUIRED,expired_card,1,0.013875977808693993,0.6762030983974785,0.05932186940582307,0.022673520848391658,0.0,0.6762030983974785,0.05932186940582307,0.0,-3.5,89.61914809468848,-6.918581730844723,0.0,BLOCKED,PASSED,PASSED,PASSED,GR04_AUTH_REQUIRED_RETRY_PROHIBITED,NONE,NONE,NONE,NUDGE,0.6762030983974785,136.23,92.11914809468848,EXECUTED,0,0.0,42,v1.0-olist-augmented
63638a6806d67773f3adba8534553fff_5,63638a6806d67773f3adba8534553fff,16e14c1e6e050fe6730c961ff638ca23,df2988ba3ed226b10521a0e4da849b61,voucher,34.19,1,5,2016-10-04 13:22:56,2016-10-04 13:27:56,4.4,0,0,0,0,0.0,0.0,0,0.0,GENERIC_DECLINE,payment_failed,1,0.344925842981908,0.41546482623125364,0.4896467300728508,0.03417728666396556,0.0,0.41546482623125364,0.4896467300728508,0.0,-0.5,11.704742408846561,1.7410217011907676,0.0,BLOCKED,PASSED,PASSED,PASSED,GR02_VOUCHER_RETRY_PROHIBITED,NONE,NONE,NONE,NUDGE,0.41546482623125364,34.19,14.204742408846561,EXECUTED,0,0.0,42,v1.0-olist-augmented
35d3a51724a47ef1d0b89911e39cc4ff_1,35d3a51724a47ef1d0b89911e39cc4ff,27ab53f26192510ff85872aeb3759dcc,f922896769e9517ea3c630f3c8de86d0,boleto,62.33,1,1,2016-10-04 14:23:50,2016-10-04 14:28:50,69.7,0,0,0,0,0.0,0.0,0,0.0,GENERIC_DECLINE,payment_failed,1,0.12452795413199208,0.16107746144764648,0.20583228176301085,0.009468857978856379,0.0,0.16107746144764648,0.20583228176301085,0.0,-0.5,7.539958172031804,-2.170473877711533,0.0,BLOCKED,PASSED,PASSED,PASSED,GR01_BOLETO_RETRY_PROHIBITED,NONE,NONE,NONE,NUDGE,0.16107746144764648,62.33,10.039958172031804,EXECUTED,0,0.0,42,v1.0-olist-augmented
5cb8558cbb7c0c2f00f43468579d3e3c_1,5cb8558cbb7c0c2f00f43468579d3e3c,2ff5a6455514da421bd25d6e4ceb1d12,2e629c69eaa172cb271dcf7f890f921a,boleto,40.15,1,1,2016-10-04 15:02:37,2016-10-04 15:07:37,60.8,0,0,0,0,0.0,0.0,0,0.0,CUSTOMER_ACTION_REQUIRED,payment_timed_out,1,0.006895170417480769,0.5074956883938222,0.03017754247990597,0.011317590057328825,0.0,0.5074956883938222,0.03017754247990597,0.0,-3.5,17.87595188901196,-13.788371669431776,0.0,BLOCKED,PASSED,PASSED,PASSED,GR01_BOLETO_RETRY_PROHIBITED,NONE,NONE,NONE,NUDGE,0.5074956883938222,40.15,20.37595188901196,EXECUTED,0,0.0,42,v1.0-olist-augmented
51725d3e4bdfc97e28b40543310da8a3_1,51725d3e4bdfc97e28b40543310da8a3,a0f95ab56c6d3a5ba0036b7fdfeda07f,a9530b74fe56ca4be9e5f2c7e7c4175a,credit_card,149.54,7,1,2016-10-04 15:02:53,2016-10-04 15:07:53,22.2,0,0,0,0,0.0,0.0,0,0.0,FUNDS_ISSUE,insufficient_funds,1,0.15329943599392304,0.39916295882963887,0.06244706396847908,0.02391709619606616,0.15329943599392304,0.39916295882963887,0.06244706396847908,0.0,22.42439765853125,57.19082886338419,-5.661666054153638,0.0,PASSED,PASSED,PASSED,PASSED,NONE,NONE,NONE,NONE,NUDGE,0.39916295882963887,149.54,59.69082886338419,EXECUTED,1,149.54,42,v1.0-olist-augmented
cb29497c3782a76b57327c055d58b0e0_1,cb29497c3782a76b57327c055d58b0e0,663c23427108785957931a3ac88f6085,2e15add79c76241beffe812a24ad3a31,credit_card,163.2,5,1,2016-10-04 16:41:59,2016-10-04 16:46:59,9.8,0,0,0,0,0.0,0.0,0,0.0,GENERIC_DECLINE,do_not_honor,1,0.318142781163518,0.3864355998855713,0.45950886528450674,0.030403566982796885,0.318142781163518,0.3864355998855713,0.45950886528450674,0.0,51.42090188588614,60.566289901325234,59.9918468144315,0.0,PASSED,PASSED,PASSED,PASSED,NONE,NONE,NONE,NONE,NUDGE,0.3864355998855713,163.2,63.066289901325234,EXECUTED,0,0.0,42,v1.0-olist-augmented
b0cfee6ce5503781be6004e0e31e4309_1,b0cfee6ce5503781be6004e0e31e4309,9e18a290b9d17b14fe33b68a0ea2bfeb,3c752a5f42170574e38358384ece8819,credit_card,116.17,1,1,2016-10-04 18:07:24,2016-10-04 18:12:24,53.1,0,0,0,0,0.0,0.0,0,0.0,FUNDS_ISSUE,insufficient_funds,1,0.089185807365215,0.26432345183113604,0.03476981437060736,0.013078549587627691,0.089185807365215,0.26432345183113604,0.03476981437060736,0.0,9.860715241617028,28.206455399223074,-10.960790664566542,0.0,PASSED,PASSED,PASSED,PASSED,NONE,NONE,NONE,NONE,NUDGE,0.26432345183113604,116.17,30.706455399223074,EXECUTED,0,0.0,42,v1.0-olist-augmented
90aea7c4e52538a18cb9bbfd16f09185_1,90aea7c4e52538a18cb9bbfd16f09185,85f0e92957e9fb9c5f72ba5378f492a0,cfbb7c1c3d613d974eef515b180e2c9b,credit_card,979.91,10,1,2016-10-04 19:25:29,2016-10-04 19:30:29,16.3,0,0,0,0,0.0,0.0,0,0.0,SOFT_DECLINE,network_error,1,0.7361414259804057,0.10211054119088334,0.06452564442716975,0.024747039942038862,0.7361414259804057,0.10211054119088334,0.06452564442716975,0.0,720.8523447324593,97.55914041835848,48.22932423062791,0.0,PASSED,PASSED,PASSED,PASSED,NONE,NONE,NONE,NONE,RETRY,0.7361414259804057,979.91,721.3523447324593,EXECUTED,0,0.0,42,v1.0-olist-augmented
bcbc0973414b1dd97555e6f8e9713cfa_1,bcbc0973414b1dd97555e6f8e9713cfa,3f6f000d5b0a959f38481fad4ab7cac2,221234182f828fb9f2a4ba9c89874ede,credit_card,383.24,3,1,2016-10-04 23:59:01,2016-10-05 00:04:01,43.8,0,0,0,0,0.0,0.0,0,0.0,SOFT_DECLINE,gateway_error,1,0.6308059730703898,0.06511162697431812,0.04053056807110076,0.015302413713885805,0.6308059730703898,0.06511162697431812,0.04053056807110076,0.0,241.25008111949617,22.453379921637676,0.5329349075686558,0.0,PASSED,PASSED,PASSED,PASSED,NONE,NONE,NONE,NONE,RETRY,0.6308059730703898,383.24,241.75008111949617,EXECUTED,1,383.24,42,v1.0-olist-augmented
34c718970b33419ed6d537a90366231b_1,34c718970b33419ed6d537a90366231b,ac68706c6f747bf0f7e7986a7ba40155,e8798977c2a62ecf8f2b17fba406097f,credit_card,134.8,6,1,2016-10-05 08:41:18,2016-10-05 08:46:18,56.2,0,0,0,0,0.0,0.0,0,0.0,CUSTOMER_ACTION_REQUIRED,authentication_failed,1,0.0074839682448637306,0.528100358618585,0.03268904512586253,0.012279361220526119,0.0,0.528100358618585,0.03268904512586253,0.0,-3.5,68.68792834178525,-10.593516717033731,0.0,BLOCKED,PASSED,PASSED,PASSED,GR04_AUTH_REQUIRED_RETRY_PROHIBITED,NONE,NONE,NONE,NUDGE,0.528100358618585,134.8,71.18792834178525,EXECUTED,1,134.8,42,v1.0-olist-augmented
